               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1346,            0.027557,                   0,                   0,                   0,                   0,                   0,             0.12973,            0.027209,                   0,              0.0865,              0.0015,              0.0015
                   1,             0.12784,            0.029308,                   0,          0.00020833,           0.0078431,          0.00010501,          2.6232e-05,             0.12419,            0.030041,                   0,            0.072094,           0.0030939,           0.0030939
                   2,             0.12102,             0.03104,                   0,          0.00041667,            0.015686,          0.00021563,          4.7845e-05,             0.12372,            0.030203,                   0,            0.057681,           0.0046814,           0.0046814
                   3,             0.12032,            0.033242,                   0,           0.0064583,             0.24314,           0.0065774,           0.0016262,             0.11871,            0.031973,                   0,            0.043263,           0.0062626,           0.0062626
                   4,             0.11323,            0.032444,                   0,            0.049921,             0.12941,            0.022822,           0.0041397,             0.11109,            0.030326,                   0,            0.028837,           0.0078374,           0.0078374
                   5,             0.10691,            0.029158,                   0,             0.11988,             0.20784,            0.070793,            0.013501,             0.11331,            0.028381,                   0,            0.014406,           0.0094059,           0.0094059
                   6,             0.10557,            0.027573,                   0,             0.11939,             0.31373,            0.077901,            0.016296,             0.10445,            0.029857,                   0,           0.0098812,           0.0098812,           0.0098812
                   7,             0.10093,            0.028774,                   0,            0.092412,             0.31373,             0.05927,            0.013725,             0.10831,             0.02549,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.096003,            0.030932,                   0,             0.14723,              0.2902,            0.097541,            0.019898,            0.096849,            0.035023,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.091017,            0.029756,                   0,               0.116,              0.2549,            0.077318,            0.018494,            0.094738,            0.033606,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.088056,            0.030534,                   0,             0.17198,             0.27843,             0.13567,            0.031033,            0.089736,            0.042309,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.086552,            0.029619,                   0,             0.20056,             0.37581,             0.16597,            0.036187,            0.090863,            0.045799,                   0,            0.009802,            0.009802,            0.009802
                  12,             0.08415,            0.031101,                   0,             0.25468,             0.43922,              0.2354,             0.05569,            0.084619,            0.039993,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.077112,             0.03113,                   0,             0.28637,                 0.4,             0.24516,            0.059671,            0.083337,            0.033988,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.077104,            0.031022,                   0,             0.34288,             0.47269,             0.26624,            0.068682,            0.082885,            0.039484,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.075748,            0.030611,                   0,             0.38729,             0.46667,             0.32533,            0.075192,            0.079895,            0.033525,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.077556,            0.029688,                   0,             0.42511,                 0.4,             0.33286,            0.079852,            0.076162,            0.025295,                   0,            0.009703,            0.009703,            0.009703
                  17,             0.07284,            0.028907,                   0,             0.42023,             0.49174,             0.34737,            0.084476,            0.073671,            0.026259,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.075852,            0.028885,                   0,             0.43858,             0.48235,             0.38707,            0.080928,            0.075348,            0.027721,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.075021,             0.02963,                   0,             0.51435,             0.58039,             0.46838,             0.11572,             0.07136,            0.028341,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.072339,            0.029263,                   0,             0.43445,             0.46275,             0.38794,              0.1002,             0.07266,            0.026136,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.072094,            0.030679,                   0,             0.52811,              0.4902,              0.4569,             0.11077,            0.074746,            0.025034,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.071239,            0.030146,                   0,              0.5406,             0.53725,             0.47423,             0.12864,            0.070479,            0.024716,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.070812,            0.028829,                   0,             0.59191,             0.55173,             0.51478,             0.12834,            0.073279,            0.024797,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.069785,            0.028639,                   0,             0.54695,             0.53333,             0.48473,             0.12367,            0.072167,            0.024845,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,             0.06906,            0.030151,                   0,             0.57723,             0.53333,             0.49702,             0.12411,            0.068507,            0.024898,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.070665,            0.029218,                   0,             0.58278,             0.53725,             0.49944,             0.12435,            0.068949,            0.025039,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.066475,            0.030028,                   0,             0.51655,              0.4549,             0.40102,             0.11169,            0.069717,              0.0251,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.068151,            0.028299,                   0,             0.58075,             0.52157,             0.50655,             0.13448,            0.070511,            0.024276,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.066051,            0.029297,                   0,             0.62249,             0.52549,             0.53795,             0.14873,            0.067282,            0.024315,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.065733,            0.029316,                   0,             0.63626,             0.55294,              0.5546,             0.15525,             0.07121,            0.024699,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.066642,            0.028443,                   0,              0.6254,             0.52157,             0.56052,             0.16123,             0.06888,            0.024236,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.063767,            0.029192,                   0,              0.6388,             0.52549,             0.53595,             0.16453,            0.068329,            0.024013,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.068124,            0.027447,                   0,             0.53638,             0.52941,             0.47357,             0.13441,            0.071804,            0.024147,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.065718,            0.027956,                   0,             0.63896,             0.52157,             0.54263,              0.1514,            0.068535,            0.024207,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.067132,            0.028053,                   0,             0.61126,             0.58039,             0.55439,             0.15059,            0.066872,            0.024956,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,             0.06506,            0.028486,                   0,             0.66561,             0.53333,             0.57816,             0.15911,            0.066322,            0.024573,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.064521,            0.027984,                   0,             0.68001,              0.5667,              0.5936,             0.15952,            0.065963,            0.024998,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.064573,             0.02932,                   0,             0.64789,             0.57004,             0.57867,               0.156,            0.066831,            0.024931,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.063208,            0.027832,                   0,             0.67865,             0.53005,             0.58113,             0.15919,            0.071831,            0.023951,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.066635,            0.028817,                   0,             0.58226,             0.51765,             0.49545,              0.1388,            0.068039,            0.024405,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.062898,            0.029004,                   0,             0.59752,             0.51765,              0.5089,              0.1456,            0.069345,            0.024297,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.063736,            0.027974,                   0,             0.63269,             0.54118,             0.52703,             0.15669,            0.066278,            0.023611,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.061057,            0.027648,                   0,             0.71189,             0.57169,             0.62879,              0.1736,            0.066147,            0.023469,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.061911,            0.027252,                   0,             0.72549,             0.56078,             0.62673,             0.18035,            0.067047,            0.023959,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,             0.06114,            0.027534,                   0,             0.69861,             0.57647,             0.62601,             0.18103,            0.065979,             0.02401,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.059922,            0.028403,                   0,               0.701,             0.57255,             0.63471,             0.19281,            0.067195,            0.024114,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.062309,            0.028744,                   0,              0.6994,             0.60392,             0.64867,             0.19971,            0.066566,            0.024776,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.061782,             0.02714,                   0,             0.61679,             0.63119,             0.63781,             0.18035,            0.068389,            0.023999,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,             0.06462,            0.026877,                   0,             0.77198,             0.52549,             0.64124,             0.19943,            0.067558,            0.024087,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.063096,            0.026582,                   0,             0.66477,             0.58824,             0.58407,             0.17222,             0.06816,            0.024594,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.062437,            0.028159,                   0,             0.63278,              0.5451,             0.52809,             0.16794,            0.070237,            0.024087,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.062272,             0.02752,                   0,             0.55461,             0.50196,             0.46408,             0.13836,            0.071422,            0.023946,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.062492,            0.027579,                   0,             0.68823,              0.5627,             0.58345,             0.17048,            0.069246,            0.024047,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.062621,            0.028173,                   0,             0.68641,             0.56653,             0.56159,             0.17543,            0.066049,            0.023964,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.059937,            0.027191,                   0,             0.69288,             0.63529,             0.64043,             0.18921,            0.067704,            0.023864,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.059952,            0.027554,                   0,             0.68103,             0.60287,             0.59727,             0.18659,            0.066414,            0.023858,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.061312,             0.02566,                   0,             0.69885,             0.58824,              0.6077,              0.1897,            0.068376,            0.025488,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.060885,            0.027724,                   0,             0.67153,             0.57255,             0.55827,             0.16649,            0.067932,            0.024849,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.059304,            0.028456,                   0,             0.68756,             0.58683,             0.60176,             0.17853,            0.066462,            0.024376,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.059681,            0.027178,                   0,             0.66444,             0.56863,             0.56617,             0.17035,            0.065812,            0.024287,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.059099,            0.027174,                   0,             0.68167,             0.58039,             0.57015,             0.15838,            0.066776,            0.024677,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.061128,            0.026574,                   0,             0.66914,             0.58824,             0.57496,             0.16121,            0.066747,            0.023689,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.060708,            0.027241,                   0,             0.70722,              0.5873,             0.62292,             0.20143,             0.06537,            0.023672,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.058835,            0.026643,                   0,              0.6098,             0.63137,             0.60583,             0.18899,            0.064257,            0.024321,                   0,           0.0087526,           0.0087526,           0.0087526
