                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1296,                 1.2795,                 1.1564,                 0.5839,                0.63922,                0.63899,                0.21885,                 2.2148,                 1.2483,                 1.1963,               0.006733,               0.006733,               0.006733
                     35,                  2.066,                 1.2685,                 1.1627,                 0.6255,                0.64314,                 0.6388,                0.22846,                 2.1989,                 1.3075,                 1.2103,               0.006634,               0.006634,               0.006634
                     36,                  2.116,                 1.2743,                 1.1606,                0.61531,                 0.5708,                 0.5819,                0.19921,                  2.274,                  1.282,                 1.2322,               0.006535,               0.006535,               0.006535
                     37,                 2.1169,                 1.2621,                 1.1321,                0.65372,                0.59226,                 0.6173,                0.22973,                 2.1652,                 1.2317,                 1.1877,               0.006436,               0.006436,               0.006436
                     38,                  2.127,                 1.2836,                 1.1455,                0.64568,                0.63137,                  0.645,                 0.2411,                 2.1267,                 1.1906,                  1.168,               0.006337,               0.006337,               0.006337
                     39,                  2.073,                 1.2576,                 1.1335,                0.62089,                0.61176,                0.59231,                0.20835,                 2.2037,                 1.3083,                 1.1963,               0.006238,               0.006238,               0.006238
                     40,                 2.0776,                 1.2444,                 1.1253,                0.60923,                0.64706,                0.63338,                0.21873,                 2.1611,                 1.2479,                 1.1708,               0.006139,               0.006139,               0.006139
                     41,                  2.016,                 1.2224,                 1.1033,                0.66036,                    0.6,                0.60508,                0.22891,                 2.1644,                 1.1986,                 1.1776,                0.00604,                0.00604,                0.00604
                     42,                  2.057,                 1.2515,                 1.1374,                0.70423,                0.62353,                0.69119,                0.24109,                 2.1478,                 1.2029,                 1.1611,               0.005941,               0.005941,               0.005941
                     43,                 2.0209,                 1.1834,                 1.1077,                0.72081,                0.68848,                0.71928,                0.26392,                 2.0828,                 1.1555,                 1.1486,               0.005842,               0.005842,               0.005842
                     44,                 2.0285,                 1.1785,                 1.1165,                0.67945,                 0.6733,                0.69848,                 0.2478,                 2.1816,                 1.1807,                 1.1656,               0.005743,               0.005743,               0.005743
                     45,                 1.9862,                 1.1648,                 1.1041,                0.67331,                0.67894,                0.68269,                0.26111,                 2.0726,                 1.1514,                 1.1415,               0.005644,               0.005644,               0.005644
                     46,                 2.0181,                 1.1788,                 1.1008,                0.72172,                0.65093,                0.68868,                0.25183,                 2.1506,                 1.1787,                 1.1697,               0.005545,               0.005545,               0.005545
                     47,                 2.0204,                 1.1655,                 1.1246,                0.71613,                0.63315,                0.67862,                0.25188,                 2.1433,                 1.1479,                  1.157,               0.005446,               0.005446,               0.005446
                     48,                 2.0137,                 1.1815,                 1.1153,                0.66266,                0.58431,                 0.6124,                0.22605,                  2.257,                 1.1629,                 1.2085,               0.005347,               0.005347,               0.005347
                     49,                 2.0154,                 1.1573,                 1.1142,                0.68827,                0.55686,                0.61078,                0.23782,                 2.1569,                 1.1924,                 1.1877,               0.005248,               0.005248,               0.005248
                     50,                 1.9558,                 1.1513,                 1.1075,                0.68542,                0.59216,                0.61573,                0.23342,                 2.2133,                 1.1579,                 1.2171,               0.005149,               0.005149,               0.005149
                     51,                 1.9568,                 1.1283,                 1.1058,                0.65862,                0.63137,                0.63921,                0.25739,                 2.1531,                 1.1135,                 1.1868,                0.00505,                0.00505,                0.00505
                     52,                 1.9777,                 1.1362,                 1.1159,                0.69596,                0.66428,                0.65664,                0.25653,                 2.1683,                 1.1493,                 1.1875,               0.004951,               0.004951,               0.004951
                     53,                  1.959,                 1.1357,                 1.0976,                0.68674,                0.65337,                0.67161,                0.25218,                 2.1383,                 1.1487,                 1.1775,               0.004852,               0.004852,               0.004852
                     54,                 1.9286,                 1.1161,                 1.0885,                0.71952,                0.67402,                0.71241,                0.26634,                 2.1471,                  1.156,                 1.1626,               0.004753,               0.004753,               0.004753
                     55,                 1.9302,                 1.1153,                 1.0794,                0.69078,                0.68235,                0.70573,                 0.2632,                 2.1351,                 1.1442,                  1.158,               0.004654,               0.004654,               0.004654
                     56,                 1.9655,                 1.1179,                 1.0801,                0.69172,                0.74118,                0.69972,                 0.2599,                 2.1308,                 1.1557,                 1.1598,               0.004555,               0.004555,               0.004555
                     57,                 1.9723,                 1.1163,                 1.0806,                0.71124,                0.67843,                 0.7121,                0.25795,                  2.151,                 1.1448,                 1.1721,               0.004456,               0.004456,               0.004456
                     58,                 1.9406,                 1.1138,                 1.0788,                0.69468,                0.68705,                0.72682,                0.26047,                 2.1751,                 1.1079,                 1.1695,               0.004357,               0.004357,               0.004357
